linear_acc_x_time,linear_acc_x,linear_acc_y_time,linear_acc_y,linear_acc_z_time,linear_acc_z
11.640000000000000568,-0.0074619654095161918814,11.640000000000000568,0.0036049626512971999492,11.640000000000000568,9.8104028173428101667
11.660000000000000142,-0.011352042803411076938,11.660000000000000142,0.0029143161143512074512,11.660000000000000142,9.7953104417794403247
11.679999999999999716,-0.00012031661466127113172,11.679999999999999716,0.018155543848499426651,11.679999999999999716,9.7937888824896432993
11.699999999999999289,0.39394478075372724168,11.699999999999999289,-0.01527608428163259105,11.699999999999999289,9.8195299515963689885
11.720000000000000639,3.0250662020896270654,11.720000000000000639,0.015613592773085129689,11.720000000000000639,9.7972816801464883696
11.740000000000000213,2.991511354313026505,11.740000000000000213,0.0049399929651900648456,11.740000000000000213,9.8086808768021445104
11.759999999999999787,2.9933613818434028353,11.759999999999999787,0.0071002249732067630392,11.759999999999999787,9.8047548623538958168
11.778999999999999915,2.996225101775366273,11.778999999999999915,0.0087602961393406630214,11.778999999999999915,9.7974417649560354704
11.798999999999999488,2.9957097820137561506,11.798999999999999488,0.0042458383235465984099,11.798999999999999488,9.8049745767143541286
11.819000000000000838,2.9901594280998109454,11.819000000000000838,0.0030352245775317988549,11.819000000000000838,9.8054882783685446412
11.839999999999999858,2.9944392897701996858,11.839999999999999858,0.0025164519118271856495,11.839999999999999858,9.803256797296930003
11.859999999999999432,2.9893734850681603632,11.859999999999999432,0.0030977971055437935471,11.859999999999999432,9.810537471259545228
11.878999999999999559,2.9975077829333565127,11.878999999999999559,0.010382255264334163888,11.878999999999999559,9.8073224865829864427
11.899000000000000909,2.9957483633466179818,11.899000000000000909,0.0075682857194160407452,11.899000000000000909,9.8011597321397747606
11.919999999999999929,2.9903351522145875663,11.919999999999999929,0.010137923284833672347,11.919999999999999929,9.7933612983572970734
11.939999999999999503,2.9872751850798806572,11.939999999999999503,0.00020930826294861953896,11.939999999999999503,9.8053494946401809074
11.960000000000000853,2.9790698418472185693,11.960000000000000853,0.0033885827382692437076,11.960000000000000853,9.7965801338084403938
11.978999999999999204,2.982309313464398759,11.978999999999999204,0.0019484938600483985276,11.978999999999999204,9.7943578765772478789
12,2.9809694328433762323,12,0.0030905739756911026692,12,9.7932367003332672084
12.019999999999999574,2.9713500753713777414,12.019999999999999574,0.0062024008130333440486,12.019999999999999574,9.7961077886806329218
12.039999999999999147,1.6529320977369397205,12.039999999999999147,0.056054827217264402428,12.039999999999999147,9.8624093875350329341
12.060000000000000497,-0.010058414212866330362,12.060000000000000497,-0.00064140389851046961112,12.060000000000000497,9.8130384592469539484
12.080000000000000071,-0.0051893354709687715756,12.080000000000000071,0.003049178072214211218,12.080000000000000071,9.8205733449834315962
12.099999999999999645,-0.004759734294305209383,12.099999999999999645,0.010498689408813320287,12.099999999999999645,9.7954833483682079986
12.119999999999999218,-0.012656402507499744242,12.119999999999999218,-0.002908647671192361988,12.119999999999999218,9.7984510027814035737
12.140000000000000568,-0.01403003260749705744,12.140000000000000568,0.00053204100496114653529,12.140000000000000568,9.8043241738417616915
12.160000000000000142,-0.013434155446201009876,12.160000000000000142,0.010192999137581959176,12.160000000000000142,9.7976531326411979705
12.179999999999999716,-0.011341580309325579451,12.179999999999999716,0.0041606615897797991771,12.179999999999999716,9.8123958814116818417
12.199999999999999289,0.00066219257474401261448,12.199999999999999289,0.01210769288348576174,12.199999999999999289,9.7974930784438303277
12.218999999999999417,-0.0097716010205924699883,12.218999999999999417,0.0020713936932331691518,12.218999999999999417,9.8063827628625492849
12.239000000000000767,-0.00048507420385971952194,12.239000000000000767,0.0023344716834634219975,12.239000000000000767,9.8066795624548301902
12.259000000000000341,-0.0075444593367324603791,12.259000000000000341,0.0060992034890932078639,12.259000000000000341,9.8044956798251057251
12.279999999999999361,-0.014883482118096674762,12.279999999999999361,-0.0033251388845542363334,12.279999999999999361,9.8031950809088872489
12.300000000000000711,-0.0054197096811585618314,12.300000000000000711,0.0067167137161368295484,12.300000000000000711,9.8060649861693764962
12.320000000000000284,-0.0017771895581122861864,12.320000000000000284,0.010860919528809919593,12.320000000000000284,9.7946528787455537923
12.339000000000000412,-0.0017023922939886850132,12.339000000000000412,0.012189704535874265959,12.339000000000000412,9.8044084832575624233
12.359999999999999432,-0.010114752787887903648,12.359999999999999432,0.0071551725710932451846,12.359999999999999432,9.7993822801967347402
12.380000000000000782,-0.0044569013765812619254,12.380000000000000782,0.0051510349043067176975,12.380000000000000782,9.8103917365712245413
12.400000000000000355,-0.011503900280910547491,12.400000000000000355,0.0099722578436863395374,12.400000000000000355,9.7992493268527649519
12.419999999999999929,-0.0075082135655701954038,12.419999999999999929,0.011455437212814752537,12.419999999999999929,9.8068567273414029017
12.439999999999999503,-0.009905382320540582694,12.439999999999999503,0.0065368670829875933845,12.439999999999999503,9.7890823110338391899
12.460000000000000853,-0.0093804922590511319314,12.460000000000000853,0.0032969383102520338248,12.460000000000000853,9.7966254076671717144
12.478999999999999204,-0.0022395652782617892634,12.478999999999999204,0.014727476545164715216,12.478999999999999204,9.8015876979310654349
12.5,-0.0085571255734013269151,12.5,-0.000309018944537773775,12.5,9.796566369311593192
12.518000000000000682,-0.0031819647588031451171,12.518000000000000682,0.0025978391046176064691,12.518000000000000682,9.8051018477064566525
12.539999999999999147,-0.0097613714426307909844,12.539999999999999147,0.0052808270060851160085,12.539999999999999147,9.7975765814051900549
12.558999999999999275,-0.0021011829943340821353,12.558999999999999275,0.0010414829779688480893,12.558999999999999275,9.7990981625663664545
