timestamp,x,y
0,4.692625236871271e-05,-2.1652774749802983e-05
818000000,4.692929308682046e-05,-2.1640046806548074e-05
819000000,4.6932332381708166e-05,-2.1627390866432727e-05
820000000,4.693536881388493e-05,-2.1614823791538118e-05
821000000,4.6938403382035406e-05,-2.1602361384931434e-05
822000000,4.69414359361716e-05,-2.1589997385787485e-05
823000000,4.694446636748612e-05,-2.157772180302886e-05
824000000,4.694749471750924e-05,-2.1565524934374913e-05
825000000,4.6950521575234204e-05,-2.1553403578372654e-05
826000000,4.695354607712327e-05,-2.1541366539715168e-05
827000000,4.695656796488326e-05,-2.1529428857552935e-05
828000000,4.695958797657179e-05,-2.1517597654285847e-05
829000000,4.696260585762275e-05,-2.1505862910609075e-05
830000000,4.6965621579370814e-05,-2.1494214221942642e-05
831000000,4.6968635471692616e-05,-2.1482644706610765e-05
832000000,4.697164740396576e-05,-2.147115681792877e-05
833000000,4.697465591527563e-05,-2.1459763563852485e-05
834000000,4.697766272011936e-05,-2.1448483953911968e-05
835000000,4.698066741141093e-05,-2.1437308337798888e-05
836000000,4.698366988219269e-05,-2.1426225751602912e-05
837000000,4.698667025220308e-05,-2.1415226234527962e-05
838000000,4.6989669024574774e-05,-2.1404307891353946e-05
839000000,4.699266390896951e-05,-2.1393487449838933e-05
840000000,4.6995656724929734e-05,-2.1382781888373836e-05
841000000,4.699864749333079e-05,-2.137218689635123e-05
842000000,4.700163601025192e-05,-2.1361691053323195e-05
843000000,4.700462229980946e-05,-2.1351282958062545e-05
844000000,4.7007607000147254e-05,-2.1340958612448002e-05
845000000,4.701058739222568e-05,-2.1330736117139426e-05
846000000,4.701356544526921e-05,-2.132063019114061e-05
847000000,4.7016541520154224e-05,-2.1310640259245006e-05
848000000,4.7019515333948615e-05,-2.1300754696418345e-05
849000000,4.702248687873001e-05,-2.1290961501427286e-05
850000000,4.702545674039834e-05,-2.1281255587007886e-05
851000000,4.70284216378008e-05,-2.127165662656194e-05
852000000,4.7031384195571953e-05,-2.126217922476803e-05
853000000,4.703434478435075e-05,-2.1252822516845682e-05
854000000,4.703730309406091e-05,-2.124357441590785e-05
855000000,4.704025911095528e-05,-2.12344222951244e-05
856000000,4.7043212924741075e-05,-2.1225364391586066e-05
857000000,4.704616111217614e-05,-2.1216417889699524e-05
858000000,4.704910742985371e-05,-2.1207601493725137e-05
859000000,4.705205171189877e-05,-2.1198909537278876e-05
860000000,4.705499368829651e-05,-2.119032922474895e-05
861000000,4.7057933368896475e-05,-2.1181847309106883e-05
862000000,4.706086952484148e-05,-2.117347109391321e-05
863000000,4.70638002510015e-05,-2.1165213514834358e-05
864000000,4.706672949854904e-05,-2.11570938308675e-05
865000000,4.70696566019853e-05,-2.1149101135140014e-05
866000000,4.707258137730036e-05,-2.1141221665493815e-05
867000000,4.707550404287172e-05,-2.113344397050576e-05
868000000,4.7078420709788607e-05,-2.1125786027614835e-05
869000000,4.7081333650415705e-05,-2.11182609028554e-05
870000000,4.708424485129633e-05,-2.1110876862670547e-05
871000000,4.708715381544044e-05,-2.110362081321482e-05
872000000,4.709006045720994e-05,-2.1096477928139734e-05
873000000,4.7092963416289985e-05,-2.108944901015042e-05
874000000,4.709585875521433e-05,-2.1082549787623805e-05
875000000,4.7098752923497504e-05,-2.107580220891969e-05
876000000,4.7101645067117366e-05,-2.1069196232265108e-05
